State,Trifecta status,Year of last status change,Abbreviation
Alabama,Republican trifecta,2011,AL
Alaska,Divided government,2015,AK
Arizona,Divided government,2023,AZ
Arkansas,Republican trifecta,2015,AR
California,Democratic trifecta,2011,CA
Colorado,Democratic trifecta,2019,CO
Connecticut,Democratic trifecta,2011,CT
Delaware,Democratic trifecta,2009,DE
Florida,Republican trifecta,2011,FL
Georgia,Republican trifecta,2005,GA
Hawaii,Democratic trifecta,2011,HI
Idaho,Republican trifecta,1995,ID
Illinois,Democratic trifecta,2019,IL
Indiana,Republican trifecta,2011,IN
Iowa,Republican trifecta,2017,IA
Kansas,Divided government,2019,KS
Kentucky,Divided government,2019,KY
Louisiana,Divided government,2016,LA
Maine,Democratic trifecta,2019,ME
Maryland,Democratic trifecta,2023,MD
Massachusetts,Democratic trifecta,2023,MA
Michigan,Democratic trifecta,2023,MI
Minnesota,Democratic trifecta,2023,MN
Mississippi,Republican trifecta,2012,MS
Missouri,Republican trifecta,2017,MO
Montana,Republican trifecta,2021,MT
Nebraska,Republican trifecta,1999,NE
Nevada,Divided government,2023,NV
New Hampshire,Republican trifecta,2020,NH
New Jersey,Democratic trifecta,2018,NJ
New Mexico,Democratic trifecta,2019,NM
New York,Democratic trifecta,2019,NY
North Carolina,Divided government,2017,NC
North Dakota,Republican trifecta,1995,ND
Ohio,Republican trifecta,2011,OH
Oklahoma,Republican trifecta,2011,OK
Oregon,Democratic trifecta,2013,OR
Pennsylvania,Divided government,2015,PA
Rhode Island,Democratic trifecta,2013,RI
South Carolina,Republican trifecta,2003,SC
South Dakota,Republican trifecta,1995,SD
Tennessee,Republican trifecta,2011,TN
Texas,Republican trifecta,2003,TX
Utah,Republican trifecta,1985,UT
Vermont,Divided government,2017,VT
Virginia,Divided government,2022,VA
Washington,Democratic trifecta,2017,WA
West Virginia,Republican trifecta,2017,WV
Wisconsin,Divided government,2019,WI
Wyoming,Republican trifecta,2011,WY